instrument,datetime,open,high,low,close,volume
9958,2023-02-09,96.6189,97.7984,96.0291,96.0291,2652450
9958,2023-02-10,95.8326,96.5206,94.4565,95.636,3464504
9958,2023-02-13,95.636,96.2257,94.8497,95.2428,1424973
9958,2023-02-14,95.5377,97.6018,95.3411,97.3069,2395334
9958,2023-02-15,97.3069,99.2727,96.9137,98.2898,2763825
9958,2023-02-16,98.7812,99.7641,97.1103,97.3069,3023082
9958,2023-02-17,97.7984,101.2385,97.7984,100.747,4206822
9958,2023-02-20,101.2385,105.6615,100.2556,104.6786,6909979
9958,2023-02-21,106.153,106.6444,102.7128,103.6957,3969464
9958,2023-02-22,103.2043,105.1701,101.7299,104.1872,2757875
9958,2023-02-23,104.1872,105.1701,103.2043,104.6786,1942796
9958,2023-02-24,104.6786,104.6786,101.7299,102.2214,2087427
9958,2023-03-01,101.7299,104.1872,101.7299,102.7128,1522104
9958,2023-03-02,102.7128,103.2043,100.2556,100.747,1776295
9958,2023-03-03,101.7299,101.7299,100.747,100.747,626612
9958,2023-03-06,100.747,101.7299,99.7641,101.2385,1724051
9958,2023-03-07,101.2385,105.1701,101.2385,105.1701,2946168
9958,2023-03-08,104.1872,105.1701,102.7128,103.2043,1551466
9958,2023-03-09,104.1872,104.1872,99.7641,100.747,2180116
9958,2023-03-10,99.7641,99.7641,96.324,96.8155,4334124
9958,2023-03-13,95.8326,101.2385,94.3582,100.2556,3695158
9958,2023-03-14,99.2727,101.7299,97.7984,97.7984,2237104
9958,2023-03-15,97.7001,97.7984,95.5377,96.2257,3546992
9958,2023-03-16,96.324,96.6189,93.6702,94.4565,2192722
9958,2023-03-17,95.4394,96.4223,94.9479,95.9308,1152212
9958,2023-03-20,96.324,99.7641,95.8326,97.7984,2230828
9958,2023-03-21,98.7812,99.2727,96.4223,96.8155,1888669
9958,2023-03-22,97.7001,98.1915,96.4223,96.6189,1319821
9958,2023-03-23,96.8155,97.9949,96.6189,97.3069,1387032
9958,2023-03-24,97.3069,97.8966,96.1274,97.3069,1148946
9958,2023-03-27,97.9949,98.0932,95.636,95.636,1411198
9958,2023-03-28,95.636,96.2257,94.8497,94.8497,1215409
9958,2023-03-29,95.5377,97.012,91.9993,91.9993,3954235
9958,2023-03-30,92.2941,92.8839,89.8369,90.8198,4473031
9958,2023-03-31,91.3112,93.0804,91.3112,92.9822,1888602
9958,2023-04-06,93.0804,96.8155,92.8839,96.324,2674066
9958,2023-04-07,95.9308,101.2385,95.9308,100.747,6640839
9958,2023-04-10,101.7299,106.153,100.2556,103.2043,10744296
9958,2023-04-11,103.2043,104.1872,100.747,104.1872,5483474
9958,2023-04-12,103.2043,112.5418,98.2898,110.576,18567010
9958,2023-04-13,112.0504,113.5247,108.6102,110.576,9213400
9958,2023-04-14,110.576,112.0504,108.1188,110.0846,3966396
9958,2023-04-17,112.0504,115.982,111.0675,113.5247,7932791
9958,2023-04-18,114.9991,115.982,111.5589,112.0504,4345635
9958,2023-04-19,113.5247,118.9307,113.0333,113.5247,6700967
9958,2023-04-20,113.5247,117.9478,111.5589,112.5418,6506403
9958,2023-04-21,114.5076,115.982,111.0675,113.0333,13145955
9958,2023-04-24,111.5589,113.0333,109.5931,111.5589,4891600
9958,2023-04-25,111.5589,112.5418,106.6444,107.1359,5027951
9958,2023-04-26,107.1359,110.0846,106.153,109.1017,2623795
9958,2023-04-27,108.1188,109.1017,105.6615,106.6444,2715487
9958,2023-04-28,108.6102,109.1017,107.1359,108.6102,1367656
