,instrument,datetime,open,high,low,close,volume
469,Y9999,2023-10-05,16313.89,16477.61,16313.89,16453.52,5252903000
470,Y9999,2023-10-06,16482.93,16539.13,16482.93,16520.57,4802052000
471,Y9999,2023-10-11,16567.43,16729.5,16567.43,16672.03,6743900000
472,Y9999,2023-10-12,16698.85,16825.91,16684.43,16825.91,5883086000
473,Y9999,2023-10-13,16815.91,16815.91,16726.43,16782.57,5853685000
474,Y9999,2023-10-16,16712.93,16712.93,16614.1,16652.24,5507462000
475,Y9999,2023-10-17,16678.28,16770.64,16618.3,16642.55,5405131000
476,Y9999,2023-10-18,16608.02,16612.25,16398.76,16440.91,7147874000
477,Y9999,2023-10-19,16416.54,16479.35,16382.4,16452.73,5556554000
478,Y9999,2023-10-20,16434.43,16462.56,16271.82,16440.72,6106263000
479,Y9999,2023-10-23,16391.41,16391.41,16245.84,16251.36,4924750000
480,Y9999,2023-10-24,16257.8,16318.77,16163.0,16309.76,5390408000
481,Y9999,2023-10-25,16320.71,16459.34,16320.71,16358.89,5418274000
482,Y9999,2023-10-26,16305.16,16305.16,16073.74,16073.74,5682316000
483,Y9999,2023-10-27,16112.75,16200.3,16112.75,16134.61,4562736000
484,Y9999,2023-10-30,16142.06,16203.33,16101.24,16149.68,4531453000
485,Y9999,2023-10-31,16176.58,16215.35,15975.91,16001.27,5582483000
486,Y9999,2023-11-01,16027.72,16099.03,15978.26,16038.56,4679344000
487,Y9999,2023-11-02,16094.26,16396.95,16094.26,16396.95,5467497000
488,Y9999,2023-11-03,16412.54,16520.1,16412.54,16507.65,5758266000
489,Y9999,2023-11-06,16572.56,16720.56,16572.56,16649.36,5913939000
490,Y9999,2023-11-07,16650.14,16684.95,16608.1,16684.95,4728818000
491,Y9999,2023-11-08,16691.32,16775.23,16665.4,16740.83,5597358000
492,Y9999,2023-11-09,16741.16,16759.43,16680.91,16745.65,5081119000
493,Y9999,2023-11-10,16725.94,16725.94,16651.23,16682.67,4635094000
494,Y9999,2023-11-13,16711.53,16961.02,16711.53,16839.29,5502240000
495,Y9999,2023-11-14,16884.52,16946.38,16884.52,16915.71,5471883000
496,Y9999,2023-11-15,17039.62,17143.88,17034.95,17128.78,7708865000
497,Y9999,2023-11-16,17136.52,17194.32,17089.4,17171.18,6383755000
498,Y9999,2023-11-17,17155.86,17253.47,17147.56,17208.95,6363298000
499,Y9999,2023-11-20,17197.82,17219.76,17151.82,17210.47,6131870000
500,Y9999,2023-11-21,17239.94,17421.17,17239.94,17416.7,7378981000
501,Y9999,2023-11-22,17325.6,17344.53,17264.95,17310.26,6155942000
502,Y9999,2023-11-23,17291.33,17343.61,17228.45,17294.55,6100401000
503,Y9999,2023-11-24,17304.65,17336.13,17268.38,17287.42,5487528000
504,Y9999,2023-11-27,17291.23,17351.93,17133.76,17137.42,6006736000
505,Y9999,2023-11-28,17150.3,17360.38,17145.2,17341.25,6327225000
506,Y9999,2023-11-29,17352.11,17441.79,17323.27,17370.56,7008357000
507,Y9999,2023-11-30,17389.2,17433.85,17313.3,17433.85,7348343000
508,Y9999,2023-12-01,17422.35,17450.13,17355.89,17438.35,6449439000
509,Y9999,2023-12-04,17450.64,17516.61,17398.1,17421.48,7455122000
